driver,race_delta_s,race_se_s,race_n,race_model,race_ref_compound,race_ref_age,race_ref_lap_center
HAM,0.0,0.8405059980865379,70,ols,MEDIUM,3.0,35.0
PIA,0.47265625,0.8873093399521135,70,ols,MEDIUM,3.0,35.0
NOR,0.56640625,0.8924707993480792,70,ols,MEDIUM,3.0,35.0
LEC,0.85546875,0.8556666877747263,70,ols,MEDIUM,3.0,35.0
BEA,0.9296875,0.8296976663739573,69,ols,MEDIUM,3.0,35.0
ALO,0.974609375,0.8306714829363966,69,ols,MEDIUM,3.0,35.0
HUL,0.978515625,0.8624961513918592,69,ols,MEDIUM,3.0,35.0
STR,1.048828125,0.8812282953387001,69,ols,MEDIUM,3.0,35.0
RUS,1.107421875,0.8400392706737915,70,ols,MEDIUM,3.0,35.0
BOR,1.28515625,0.8593325731516546,69,ols,MEDIUM,3.0,35.0
GAS,1.34375,0.8417800487878032,69,ols,MEDIUM,3.0,35.0
COL,1.48828125,0.8548464266441774,69,ols,MEDIUM,3.0,35.0
TSU,1.6015625,1.0115843582328716,68,ols,MEDIUM,3.0,35.0
OCO,1.896484375,0.8649462830762162,69,ols,MEDIUM,3.0,35.0
HAD,1.9453125,0.8437693196866183,69,ols,MEDIUM,3.0,35.0
LAW,1.9765625,0.8204847271128434,70,ols,MEDIUM,3.0,35.0
ALB,4.689453125,3.5414386900219395,15,ols,MEDIUM,3.0,35.0
